Location,Total Population
Jammu & Kashmir and Ladakh,13895343
Arunachal Pradesh,1570458
Uttarakhand,11250858
Himachal Pradesh,7451955
Other Union Territories,3677958
Andhra Pradesh,53903393
Assam,35607039
Delhi,18710922
Goa,1586250
Haryana,28204692
Karnataka,67562686
Kerala,35699443
Maharashtra,123144223
Manipur,3091545
Meghalaya,3366710
Mizoram,1239244
Nagaland,2249695
Odisha,46356334
Punjab,30141373
Rajasthan,81032689
Sikkim,690251
Tamil Nadu,77841267
Tripura,4169794
West Bengal,99609303
Bihar,124799926
Chhattisgarh,29436231
Jharkhand,38593948
Madhya Pradesh,85358965
Uttar Pradesh,237882725
Gujarat,63872399
Telangana,39362732
