,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Alcohol use,"Deaths per 100,000",13.83453,9.188553,19.14904,"YLDs per 100,000",158.5921,110.6237,220.587,"DALYs per 100,000",621.985,449.7572,800.8054
1,Arunachal Pradesh,2019,All ages,Both,Alcohol use,"Deaths per 100,000",29.38168,15.38166,47.75644,"YLDs per 100,000",186.8444,121.0552,269.8075,"DALYs per 100,000",1237.898,716.603,1924.263
2,Uttarakhand,2019,All ages,Both,Alcohol use,"Deaths per 100,000",37.20522,22.95522,53.89619,"YLDs per 100,000",219.3607,145.8765,302.96,"DALYs per 100,000",1556.964,1061.437,2137.354
3,Himachal Pradesh,2019,All ages,Both,Alcohol use,"Deaths per 100,000",32.04816,19.52207,46.70636,"YLDs per 100,000",234.1979,158.7476,322.4965,"DALYs per 100,000",1288.95,883.2552,1769.36
4,Other Union Territories,2019,All ages,Both,Alcohol use,"Deaths per 100,000",30.1069,18.28467,44.81355,"YLDs per 100,000",296.979,202.966,408.3461,"DALYs per 100,000",1324.164,898.0878,1850.723
5,Andhra Pradesh,2019,All ages,Both,Alcohol use,"Deaths per 100,000",24.13536,12.60617,37.64434,"YLDs per 100,000",198.1758,133.3404,273.6991,"DALYs per 100,000",984.4786,592.5225,1436.066
6,Assam,2019,All ages,Both,Alcohol use,"Deaths per 100,000",43.10383,25.36219,62.94179,"YLDs per 100,000",165.8175,109.3515,236.7071,"DALYs per 100,000",1744.779,1080.318,2490.356
7,Delhi,2019,All ages,Both,Alcohol use,"Deaths per 100,000",24.84864,16.98452,33.55039,"YLDs per 100,000",228.2539,159.3597,313.9493,"DALYs per 100,000",1130.355,828.3743,1436.712
8,Goa,2019,All ages,Both,Alcohol use,"Deaths per 100,000",37.83678,21.98295,57.18895,"YLDs per 100,000",230.1145,157.3667,319.1081,"DALYs per 100,000",1410.846,907.5396,2008.344
9,Haryana,2019,All ages,Both,Alcohol use,"Deaths per 100,000",22.37564,14.49072,31.80969,"YLDs per 100,000",205.5547,143.5219,285.9616,"DALYs per 100,000",1014.598,723.2342,1343.156
10,Karnataka,2019,All ages,Both,Alcohol use,"Deaths per 100,000",30.9228,18.88709,44.20129,"YLDs per 100,000",209.2843,144.3681,286.763,"DALYs per 100,000",1328.314,889.5337,1794.953
11,Kerala,2019,All ages,Both,Alcohol use,"Deaths per 100,000",23.48265,14.70238,33.26352,"YLDs per 100,000",184.1872,126.5026,251.2863,"DALYs per 100,000",898.0817,622.7911,1179.116
12,Maharashtra,2019,All ages,Both,Alcohol use,"Deaths per 100,000",31.94987,20.7115,43.51354,"YLDs per 100,000",211.4334,147.7542,292.9366,"DALYs per 100,000",1342.258,952.836,1729.911
13,Manipur,2019,All ages,Both,Alcohol use,"Deaths per 100,000",37.92384,20.35438,58.91097,"YLDs per 100,000",177.9122,115.9138,254.5836,"DALYs per 100,000",1440.418,832.4902,2187.027
14,Meghalaya,2019,All ages,Both,Alcohol use,"Deaths per 100,000",32.43166,19.2231,48.45001,"YLDs per 100,000",164.0656,111.8003,225.8346,"DALYs per 100,000",1304.398,809.6068,1881.293
15,Mizoram,2019,All ages,Both,Alcohol use,"Deaths per 100,000",23.72614,14.52912,34.66606,"YLDs per 100,000",159.1431,109.0612,219.9046,"DALYs per 100,000",975.4095,624.5997,1388.215
16,Nagaland,2019,All ages,Both,Alcohol use,"Deaths per 100,000",32.56187,18.31852,51.06953,"YLDs per 100,000",165.8446,111.9696,229.1924,"DALYs per 100,000",1255.053,751.6328,1895.765
17,Odisha,2019,All ages,Both,Alcohol use,"Deaths per 100,000",30.73246,19.16167,43.65875,"YLDs per 100,000",217.3813,148.4028,296.558,"DALYs per 100,000",1290.736,879.4036,1755.247
18,Punjab,2019,All ages,Both,Alcohol use,"Deaths per 100,000",23.48936,13.15193,35.02542,"YLDs per 100,000",230.3034,155.5234,319.1486,"DALYs per 100,000",1072.345,693.2393,1471.384
19,Rajasthan,2019,All ages,Both,Alcohol use,"Deaths per 100,000",19.86145,14.19005,26.54794,"YLDs per 100,000",138.7167,94.67808,192.5331,"DALYs per 100,000",875.7669,649.9499,1127.124
20,Sikkim,2019,All ages,Both,Alcohol use,"Deaths per 100,000",35.83915,18.86905,58.17988,"YLDs per 100,000",224.3784,146.6582,327.2264,"DALYs per 100,000",1423.106,825.7067,2190.364
21,Tamil Nadu,2019,All ages,Both,Alcohol use,"Deaths per 100,000",25.23658,14.70839,36.83733,"YLDs per 100,000",251.1709,172.3562,345.2309,"DALYs per 100,000",1132.743,761.3345,1528.799
22,Tripura,2019,All ages,Both,Alcohol use,"Deaths per 100,000",27.68324,14.51737,44.10737,"YLDs per 100,000",188.8202,127.4286,263.5344,"DALYs per 100,000",1155.748,677.101,1758.452
23,West Bengal,2019,All ages,Both,Alcohol use,"Deaths per 100,000",20.90434,13.30989,29.58923,"YLDs per 100,000",152.7209,103.4326,214.199,"DALYs per 100,000",850.1558,593.0357,1136.948
24,Bihar,2019,All ages,Both,Alcohol use,"Deaths per 100,000",14.99674,9.16386,21.74575,"YLDs per 100,000",143.7912,98.10007,200.783,"DALYs per 100,000",674.017,456.0549,911.7547
25,Chhattisgarh,2019,All ages,Both,Alcohol use,"Deaths per 100,000",36.09415,20.91252,52.60492,"YLDs per 100,000",256.9725,172.4154,352.8919,"DALYs per 100,000",1582.806,1001.035,2221.55
26,Jharkhand,2019,All ages,Both,Alcohol use,"Deaths per 100,000",15.87662,9.098126,24.21267,"YLDs per 100,000",130.422,85.66852,182.1839,"DALYs per 100,000",669.7126,421.4685,968.7129
27,Madhya Pradesh,2019,All ages,Both,Alcohol use,"Deaths per 100,000",23.07312,15.02808,33.52188,"YLDs per 100,000",219.2331,150.4889,299.315,"DALYs per 100,000",1073.011,758.9676,1472.569
28,Uttar Pradesh,2019,All ages,Both,Alcohol use,"Deaths per 100,000",25.18646,17.55009,34.14765,"YLDs per 100,000",133.8433,90.54474,184.6598,"DALYs per 100,000",1045.487,759.9317,1375.806
29,Gujarat,2019,All ages,Both,Alcohol use,"Deaths per 100,000",22.33591,15.34944,30.05226,"YLDs per 100,000",176.9351,122.5733,240.9574,"DALYs per 100,000",977.8014,717.9011,1244.966
30,Telangana,2019,All ages,Both,Alcohol use,"Deaths per 100,000",19.25164,9.440653,32.73321,"YLDs per 100,000",200.91,131.3975,286.4308,"DALYs per 100,000",889.9307,521.1578,1356.413
