,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",73.4410122681756,55.8055426223658,91.4045657080787,"YLDs per 100,000",206.653441779959,150.785435946235,267.191610440426,"DALYs per 100,000",2119.03181290066,1623.88637487265,2592.14487820689
1,Arunachal Pradesh,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",16.4062264048942,10.5754879580987,22.9428227948182,"YLDs per 100,000",74.3257707161824,48.4803706543443,104.889056801968,"DALYs per 100,000",592.992183650257,389.029580729244,823.008017038574
2,Uttarakhand,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",98.4176026255416,75.7512622111042,124.011711820702,"YLDs per 100,000",271.755174053984,197.008704960741,352.962919259473,"DALYs per 100,000",2899.03018741203,2258.78325559558,3608.11355989429
3,Himachal Pradesh,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",79.7624999725824,57.9919240468113,102.886948599872,"YLDs per 100,000",239.878939715714,168.706146864068,320.530567981519,"DALYs per 100,000",2156.09099681922,1564.24132075363,2750.00907707031
4,Other Union Territories,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",59.5239351977975,46.3475059626701,74.7761889122036,"YLDs per 100,000",242.567323571475,178.521425082767,314.639895548311,"DALYs per 100,000",1777.1623451136,1403.44604701851,2197.98482870648
5,Andhra Pradesh,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",57.8755065680697,40.4409912994488,76.8430529359108,"YLDs per 100,000",196.705456987136,140.033163218041,262.088140613253,"DALYs per 100,000",1663.10306610227,1180.88773559448,2197.31583597999
6,Assam,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",40.4125370071341,27.7006787054464,52.6038303373965,"YLDs per 100,000",125.411780465702,85.1749219101252,170.955630971265,"DALYs per 100,000",1419.05410378118,976.392764786649,1842.0071782353
7,Delhi,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",85.2786429608799,72.1659227529518,99.4098568993735,"YLDs per 100,000",357.908244799881,273.152316980466,446.252306904917,"DALYs per 100,000",2711.36506105381,2337.09007499041,3107.50610581584
8,Goa,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",79.3402311808697,58.5403059047632,103.545154349219,"YLDs per 100,000",325.259273428481,231.149150690748,433.390877437657,"DALYs per 100,000",2115.93329957372,1616.3640252588,2701.30704929079
9,Haryana,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",90.8164170170127,72.9550248612828,109.892277234712,"YLDs per 100,000",308.486591358345,236.055706274743,380.371211837239,"DALYs per 100,000",2916.83821646074,2393.51672080094,3484.91646155315
10,Karnataka,2019,All ages,Both,Ambient particulate matter pollution,"Deaths per 100,000",65.7549790962366,48.3269342435171,85.0214114457834,"YLDs per 100,000",188.588791971848,132.815995480529,253.617505883359,"DALYs per 100,000",1900.83537706446,1402.23932852705,2446.37747919572
