,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Drug use,"Deaths per 100,000",3.605861,2.830789,4.624525,"YLDs per 100,000",89.64046,58.57084,125.0861,"DALYs per 100,000",219.115016005656,173.810814201382,266.893735980581
1,Arunachal Pradesh,2019,All ages,Both,Drug use,"Deaths per 100,000",7.195475,4.993228,9.712286,"YLDs per 100,000",87.82257,57.84274,123.791,"DALYs per 100,000",345.885705672275,258.955483030185,449.152967567461
2,Uttarakhand,2019,All ages,Both,Drug use,"Deaths per 100,000",5.718916,4.471753,7.426599,"YLDs per 100,000",87.39901,58.97195,120.7523,"DALYs per 100,000",291.96173098991,234.912453993247,355.704040550291
3,Himachal Pradesh,2019,All ages,Both,Drug use,"Deaths per 100,000",6.186763,4.811154,8.391517,"YLDs per 100,000",113.0945,75.86338,156.2327,"DALYs per 100,000",333.958668606508,268.052724092825,412.043093328373
4,Other Union Territories,2019,All ages,Both,Drug use,"Deaths per 100,000",6.1175,4.624062,8.252822,"YLDs per 100,000",110.921,74.93643,153.4119,"DALYs per 100,000",330.172545467536,261.941345253885,414.39869688703
5,Andhra Pradesh,2019,All ages,Both,Drug use,"Deaths per 100,000",6.132839,4.710281,7.725485,"YLDs per 100,000",96.00366,64.26365,131.3886,"DALYs per 100,000",315.538267731829,252.737497018016,381.290629212351
6,Assam,2019,All ages,Both,Drug use,"Deaths per 100,000",9.710185,6.897104,12.23275,"YLDs per 100,000",79.54889,53.71815,110.2067,"DALYs per 100,000",458.721673392465,343.148309158629,564.422021720164
7,Delhi,2019,All ages,Both,Drug use,"Deaths per 100,000",6.523697,5.067692,8.021618,"YLDs per 100,000",114.2034,77.05686,160.4764,"DALYs per 100,000",357.820927614174,289.194196092092,431.230841658215
8,Goa,2019,All ages,Both,Drug use,"Deaths per 100,000",8.272787,5.859474,11.3102,"YLDs per 100,000",117.6112,78.79947,162.2065,"DALYs per 100,000",380.360186012112,292.649457389331,487.180459208797
9,Haryana,2019,All ages,Both,Drug use,"Deaths per 100,000",4.761846,3.872683,5.909172,"YLDs per 100,000",95.24785,65.50411,132.1655,"DALYs per 100,000",275.183440794645,227.223123728395,332.008819345479
10,Karnataka,2019,All ages,Both,Drug use,"Deaths per 100,000",6.566539,5.169809,8.270803,"YLDs per 100,000",99.78877,67.83857,137.0301,"DALYs per 100,000",347.708655432896,281.604724009323,419.342510397232
11,Kerala,2019,All ages,Both,Drug use,"Deaths per 100,000",4.673061,3.68942,5.895123,"YLDs per 100,000",113.9826,76.50867,159.0395,"DALYs per 100,000",256.56602671253,203.631388745993,317.594703437348
12,Maharashtra,2019,All ages,Both,Drug use,"Deaths per 100,000",7.396704,5.818809,9.165274,"YLDs per 100,000",97.37232,65.78627,135.7087,"DALYs per 100,000",363.025804055442,298.154191899057,436.370724922828
