,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.370842,0.67564,2.132647,"YLDs per 100,000",7.068265,2.734062,12.21668,"DALYs per 100,000",41.1074293167854,20.3506586031652,63.8368071310317
1,Arunachal Pradesh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",0.861062,0.548415,1.219392,"YLDs per 100,000",6.220205,3.296232,9.963745,"DALYs per 100,000",24.565998867134,15.6937614577191,34.6426308356649
2,Uttarakhand,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.431181,1.19656,3.88546,"YLDs per 100,000",16.48195,6.391791,28.28539,"DALYs per 100,000",81.8273396667348,37.0722392064254,132.150157747223
3,Himachal Pradesh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.506175,0.916147,4.205668,"YLDs per 100,000",19.34704,7.120617,32.9862,"DALYs per 100,000",87.545046007225,33.9381925288525,144.961756121038
4,Other Union Territories,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.551411,1.146366,3.991912,"YLDs per 100,000",19.26847,8.094218,32.91349,"DALYs per 100,000",79.9006394585502,36.6005852868302,124.57448842471
5,Andhra Pradesh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.099528,1.039065,3.241138,"YLDs per 100,000",11.53192,4.908667,19.14543,"DALYs per 100,000",63.5593179746212,31.6003441215901,99.0988190164702
6,Assam,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.197385,0.736096,1.747473,"YLDs per 100,000",8.45236,4.120137,13.76935,"DALYs per 100,000",36.6195609329882,21.3824163942608,53.2388196444715
7,Delhi,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.901954,0.744507,3.172252,"YLDs per 100,000",15.61586,5.128514,27.55782,"DALYs per 100,000",65.0232376278799,27.3347220388696,107.164716447623
8,Goa,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",4.346854,1.801343,7.124516,"YLDs per 100,000",29.03287,11.83811,49.0404,"DALYs per 100,000",122.232045434742,52.444556615857,194.818010290419
9,Haryana,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.423473,0.900515,3.921483,"YLDs per 100,000",16.03684,5.928538,27.56324,"DALYs per 100,000",85.4548006749684,33.6726565801797,138.189817717713
10,Karnataka,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.529458,1.220119,3.924421,"YLDs per 100,000",13.14926,4.550605,23.29782,"DALYs per 100,000",78.0636290492363,35.3967781816086,121.543818872598
11,Kerala,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",3.388156,2.15417,4.741107,"YLDs per 100,000",14.78286,7.14283,23.47763,"DALYs per 100,000",77.9329018538601,48.4458843860345,109.952796501805
12,Maharashtra,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.254393,0.921476,3.640679,"YLDs per 100,000",13.44798,4.783623,23.4667,"DALYs per 100,000",69.9820761527863,29.6400172092208,112.020889143118
13,Manipur,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.260529,0.786237,1.828013,"YLDs per 100,000",8.17875,4.271233,13.13078,"DALYs per 100,000",35.58002469981,22.6535836138933,50.7671147004789
14,Meghalaya,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",0.792131,0.513512,1.130393,"YLDs per 100,000",5.4857,2.746923,8.815696,"DALYs per 100,000",21.6228951239351,13.4215141555051,30.6972626975896
15,Mizoram,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",0.699246,0.452457,1.036756,"YLDs per 100,000",7.417104,3.670053,12.04694,"DALYs per 100,000",21.2900161713769,12.8460477474311,31.2422329805987
16,Nagaland,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.253631,0.81192,1.775427,"YLDs per 100,000",7.250922,3.959542,11.21878,"DALYs per 100,000",31.1644152300708,19.7898457215598,43.3552484775552
17,Odisha,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",0.880332,0.409349,1.417217,"YLDs per 100,000",10.79783,3.583577,18.84501,"DALYs per 100,000",33.6329579323751,14.5113332125636,53.8675654806778
18,Punjab,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",3.618077,1.491704,5.685473,"YLDs per 100,000",17.81347,6.022219,30.81835,"DALYs per 100,000",119.206641756484,47.6847760027295,188.991791141085
19,Rajasthan,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.070758,0.459033,1.737591,"YLDs per 100,000",8.093374,2.940875,13.58798,"DALYs per 100,000",38.8667434621108,16.56912426465,63.0666286096301
20,Sikkim,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.446463,0.832318,2.148064,"YLDs per 100,000",11.69056,4.804924,19.42757,"DALYs per 100,000",44.5188168251289,24.1585651409065,67.3922700098605
21,Tamil Nadu,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",3.427692,1.794915,5.152034,"YLDs per 100,000",16.75424,6.396925,28.27489,"DALYs per 100,000",100.162727497384,51.4733467703822,151.168867788843
22,Tripura,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.830656,1.18809,2.63534,"YLDs per 100,000",8.531496,4.338911,13.72299,"DALYs per 100,000",46.0943169313355,29.3842919118541,66.0622897564976
23,West Bengal,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.514955,0.621919,2.421152,"YLDs per 100,000",12.89744,4.880613,22.03908,"DALYs per 100,000",52.2219299181186,22.8153025412126,82.6714938518032
24,Bihar,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.587184,0.98736,2.259602,"YLDs per 100,000",6.521597,3.466429,10.51664,"DALYs per 100,000",39.8598905088319,24.4447130430646,57.8631666746849
25,Chhattisgarh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.425035,0.716522,2.194354,"YLDs per 100,000",10.51419,4.176505,17.61697,"DALYs per 100,000",48.691137763875,24.2944360432487,75.3783701055675
26,Jharkhand,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",0.876475,0.451167,1.354526,"YLDs per 100,000",7.743366,2.720325,13.5414,"DALYs per 100,000",28.4600827234759,13.4781744829214,44.7292723989692
27,Madhya Pradesh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.199298,0.657672,1.822055,"YLDs per 100,000",6.938745,2.835367,11.79752,"DALYs per 100,000",37.893438420081,19.7535177020928,57.1936841702429
28,Uttar Pradesh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.044769,0.540317,1.617223,"YLDs per 100,000",7.12787,2.634155,12.48198,"DALYs per 100,000",35.0329383529444,17.4336038124511,54.412822741262
29,Gujarat,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.171923,1.110858,3.22037,"YLDs per 100,000",10.10244,3.987953,17.23499,"DALYs per 100,000",67.2669851135298,32.5942414479693,103.400916123344
30,Telangana,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.651517,1.665758,3.841876,"YLDs per 100,000",10.30077,5.531247,16.06768,"DALYs per 100,000",67.6692138359334,42.0914251584366,97.2726381534506
