,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,"YLDs per 100,000",0,0.1,0.2,Measure.1,Value.1,Lower bound.1,Upper bound.1
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,High temperature,"Deaths per 100,000",0.179536,0.066974,0.375644,"YLDs per 100,000",0,0,0,"DALYs per 100,000",5.83385,2.640093,11.86907
1,Arunachal Pradesh,2019,All ages,Both,High temperature,"Deaths per 100,000",0.119004,0.036899,0.39256,"YLDs per 100,000",0,0,0,"DALYs per 100,000",5.973265,2.076618,19.65003
2,Uttarakhand,2019,All ages,Both,High temperature,"Deaths per 100,000",0.784441,0.332239,1.550314,"YLDs per 100,000",0,0,0,"DALYs per 100,000",25.1454,12.34243,45.66284
3,Himachal Pradesh,2019,All ages,Both,High temperature,"Deaths per 100,000",0.572188,0.196829,1.34589,"YLDs per 100,000",0,0,0,"DALYs per 100,000",14.81313,5.987775,32.43526
4,Other Union Territories,2019,All ages,Both,High temperature,"Deaths per 100,000",6.845831,4.291024,11.73109,"YLDs per 100,000",0,0,0,"DALYs per 100,000",200.0655,125.8282,353.1923
5,Andhra Pradesh,2019,All ages,Both,High temperature,"Deaths per 100,000",15.98875,10.03695,25.4381,"YLDs per 100,000",0,0,0,"DALYs per 100,000",419.3029,270.0078,668.7622
6,Assam,2019,All ages,Both,High temperature,"Deaths per 100,000",3.554103,1.618874,6.740326,"YLDs per 100,000",0,0,0,"DALYs per 100,000",157.8102,78.97831,298.8601
7,Delhi,2019,All ages,Both,High temperature,"Deaths per 100,000",5.788731,2.126272,9.844971,"YLDs per 100,000",0,0,0,"DALYs per 100,000",176.3457,80.34731,292.8293
8,Goa,2019,All ages,Both,High temperature,"Deaths per 100,000",2.513136,0.834989,5.244837,"YLDs per 100,000",0,0,0,"DALYs per 100,000",69.26517,24.32695,147.8496
9,Haryana,2019,All ages,Both,High temperature,"Deaths per 100,000",7.966469,3.633312,12.82081,"YLDs per 100,000",0,0,0,"DALYs per 100,000",271.539,149.2181,422.8955
