,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",10.6798093188642,1.016896251387,15.4803103473452,"YLDs per 100,000",3.92450506559674,0.332887945739349,6.42495788451409,"DALYs per 100,000",279.465073995465,24.2000080314077,405.093919467409
1,Arunachal Pradesh,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",2.90597348529068,0.259842353450096,4.41579668832207,"YLDs per 100,000",2.23691786922196,0.180557673824907,3.67839496457384,"DALYs per 100,000",80.0886662456494,7.18253333881531,123.205918141309
2,Uttarakhand,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",11.1696857768358,0.976965035871682,16.4660003920995,"YLDs per 100,000",4.1995400718617,0.3390439687543,6.90419513380894,"DALYs per 100,000",319.557305220669,27.312251144851,476.888352726971
3,Himachal Pradesh,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",12.0014460557842,1.11394424743425,17.4788348941369,"YLDs per 100,000",5.46451674907692,0.456689808149646,8.87283436222118,"DALYs per 100,000",312.754022900276,29.0826781435745,460.908654911784
4,Other Union Territories,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",10.8154259794667,1.01591545425942,16.2218130589241,"YLDs per 100,000",4.35220093157363,0.366653739623771,7.11805123043134,"DALYs per 100,000",272.18853283832,23.6312780491424,413.318323769572
5,Andhra Pradesh,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",14.131443011107,1.35406826026739,21.0192734010105,"YLDs per 100,000",5.2149004050659,0.452964259487407,8.62995085093879,"DALYs per 100,000",361.578124077099,35.2307182490632,552.201629510673
6,Assam,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",4.99806871867184,0.435332615352964,7.1669081943877,"YLDs per 100,000",2.85528212228967,0.235372630447287,4.77586726278981,"DALYs per 100,000",145.94592997225,12.7735451339007,209.844877536847
7,Delhi,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",9.6570393645653,0.854715749901915,13.8591492980565,"YLDs per 100,000",4.35755919205505,0.344353201984579,7.1141524232897,"DALYs per 100,000",254.414803782755,21.44720146201,370.114903116917
8,Goa,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",14.7904931997386,1.2872100499097,21.7711726947563,"YLDs per 100,000",5.99689417215602,0.508654324778471,9.90383525154398,"DALYs per 100,000",329.236096941138,28.213963666078,493.635003537437
9,Haryana,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",11.847433594047,1.13226828576462,17.0297292151463,"YLDs per 100,000",4.56020386228785,0.384495790632382,7.51109236775514,"DALYs per 100,000",338.904551249187,30.5915285075173,488.355308522264
10,Karnataka,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",15.4410311635208,1.48100012440182,22.5649394336614,"YLDs per 100,000",4.51153515909161,0.389981678701267,7.3508387842243,"DALYs per 100,000",424.932522636086,39.2137232760194,620.757041359569
11,Kerala,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",16.6324503942815,1.53308563239144,23.9853427797264,"YLDs per 100,000",7.8628619196135,0.664370409886027,12.8297652425485,"DALYs per 100,000",368.84426889964,33.2838861493595,533.048329759292
12,Maharashtra,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",12.7133958165711,1.19397221648894,18.4130668856931,"YLDs per 100,000",5.47439910474215,0.449530255523921,8.96390256892308,"DALYs per 100,000",326.446097797252,28.5074259459941,474.799915459602
13,Manipur,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",5.58216225826038,0.494823863317455,8.13424478994291,"YLDs per 100,000",3.40464792923321,0.284693956890279,5.61696474961873,"DALYs per 100,000",144.119770579421,12.0303824766411,216.26157745035
14,Meghalaya,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",2.9766781464587,0.287207067442157,4.3974458907135,"YLDs per 100,000",2.4772050463355,0.210997156596794,4.08762771659723,"DALYs per 100,000",77.6874138575127,7.24960580797895,117.813701848951
15,Mizoram,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",2.01702987250266,0.178670284775671,3.19569560886075,"YLDs per 100,000",2.68440595512976,0.222324544690402,4.41622048632251,"DALYs per 100,000",51.9194326169271,4.31819713437851,84.6022160193849
16,Nagaland,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",4.77841476427099,0.460386177771669,7.00159902992655,"YLDs per 100,000",3.1581162782363,0.258690223120096,5.23552717056196,"DALYs per 100,000",116.003886275802,10.7947594704995,174.886110322502
17,Odisha,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",4.85680110490826,0.438702097499178,7.35676478035821,"YLDs per 100,000",3.92008060795497,0.319906665283,6.57078181103558,"DALYs per 100,000",132.985917619026,11.2668189251055,202.180079197255
18,Punjab,2019,All ages,Both,Diet high in trans fatty acids,"Deaths per 100,000",19.4980393430849,1.8065395732931,27.6277413303921,"YLDs per 100,000",5.74342548323792,0.499819315546015,9.44722486419918,"DALYs per 100,000",527.319612665282,50.949961026671,762.500481339328
