,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Lead exposure,"Deaths per 100,000",11.5569072483433,7.26632900311146,16.722192910905,"YLDs per 100,000",106.328503390423,51.8968437811798,178.547354442813,"DALYs per 100,000",348.412605082233,225.429011095805,493.063420303522
1,Arunachal Pradesh,2019,All ages,Both,Lead exposure,"Deaths per 100,000",5.87345880786466,3.81998050621416,8.51560486302669,"YLDs per 100,000",106.58259694784,52.6687506140167,176.79269357649,"DALYs per 100,000",234.677035484871,152.221281971056,328.932776560546
2,Uttarakhand,2019,All ages,Both,Lead exposure,"Deaths per 100,000",15.7731535711218,10.5091586400977,22.3502771933197,"YLDs per 100,000",97.8720028108892,52.3281821216918,158.879132532865,"DALYs per 100,000",465.696178844136,314.779837647857,644.625745917179
3,Himachal Pradesh,2019,All ages,Both,Lead exposure,"Deaths per 100,000",14.7124406203735,9.43108024047768,21.4561995310508,"YLDs per 100,000",94.8486521430734,51.4972419720319,151.821908699784,"DALYs per 100,000",400.0692466969,264.376604175156,561.84618501896
4,Other Union Territories,2019,All ages,Both,Lead exposure,"Deaths per 100,000",11.9125710312634,7.4092649284435,17.230608625527,"YLDs per 100,000",79.7129133502075,41.9063152635023,130.241549594851,"DALYs per 100,000",331.699882248315,215.641255965419,466.864869801977
5,Andhra Pradesh,2019,All ages,Both,Lead exposure,"Deaths per 100,000",26.1939541038882,18.382924822659,35.6562707979786,"YLDs per 100,000",126.089898101861,71.4389908070968,198.384269441967,"DALYs per 100,000",674.034620273006,487.995822271956,900.930342673647
6,Assam,2019,All ages,Both,Lead exposure,"Deaths per 100,000",13.5610943770851,9.03716205263084,18.805314455692,"YLDs per 100,000",131.474992144664,67.1630488897285,218.257369482738,"DALYs per 100,000",460.441351848615,321.141507042016,626.47255710789
7,Delhi,2019,All ages,Both,Lead exposure,"Deaths per 100,000",10.6893743941898,6.89232078412199,14.9744831160351,"YLDs per 100,000",62.3951680184513,32.9605095877167,101.432826319223,"DALYs per 100,000",284.469963242157,187.036533356525,395.189158690962
8,Goa,2019,All ages,Both,Lead exposure,"Deaths per 100,000",11.117287473531,5.7141222950181,17.4320349433361,"YLDs per 100,000",57.2897219841398,29.5506053740998,94.36382821039,"DALYs per 100,000",264.376253732396,144.245620181116,403.973657055365
9,Haryana,2019,All ages,Both,Lead exposure,"Deaths per 100,000",11.1921648611783,6.94758850446416,16.5305446830974,"YLDs per 100,000",87.5848803499218,45.2884581088288,143.184755524383,"DALYs per 100,000",335.417132910811,211.50932867165,479.948688071718
10,Karnataka,2019,All ages,Both,Lead exposure,"Deaths per 100,000",24.4585081870586,16.715418413561,33.4127163756009,"YLDs per 100,000",106.441683751266,59.5798368278897,167.223217661978,"DALYs per 100,000",653.2429769617,465.452837488736,885.588943229418
11,Kerala,2019,All ages,Both,Lead exposure,"Deaths per 100,000",18.6085339162673,11.198671987643,26.8636270820104,"YLDs per 100,000",93.9373704999588,52.6933501562968,148.696256837646,"DALYs per 100,000",439.33612087744,282.175807913871,620.314425657143
12,Maharashtra,2019,All ages,Both,Lead exposure,"Deaths per 100,000",17.1577305748759,11.3050962889868,23.7385736466805,"YLDs per 100,000",98.6733345370552,54.5639696786623,155.768878281304,"DALYs per 100,000",457.919395253245,308.683122155311,618.952401689126
13,Manipur,2019,All ages,Both,Lead exposure,"Deaths per 100,000",10.5115999260926,6.59653650094348,15.2498421917245,"YLDs per 100,000",121.57898153228,61.2411516768467,205.183676186423,"DALYs per 100,000",352.436156544569,237.21455760276,492.930249336092
14,Meghalaya,2019,All ages,Both,Lead exposure,"Deaths per 100,000",7.39730011057355,4.88274861933498,10.3013292224018,"YLDs per 100,000",127.680256236719,63.9774210910521,210.847944724784,"DALYs per 100,000",284.251563323812,194.883789828086,393.40508948661
