,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.699660944307529,0.411056630135032,1.08580782469684,"YLDs per 100,000",0.570894,0.33619,0.894084,"DALYs per 100,000",62.54291,36.76678,96.86155
1,Arunachal Pradesh,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",1.13064132244384,0.681437404253032,1.79277112921534,"YLDs per 100,000",1.137365,0.697266,1.744419,"DALYs per 100,000",101.2261,61.55626,160.0232
2,Uttarakhand,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.803324582073745,0.490712876255076,1.2017285418773,"YLDs per 100,000",0.97784,0.563322,1.496212,"DALYs per 100,000",72.10898,44.31534,107.6999
3,Himachal Pradesh,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.503230340274001,0.28374483730071,0.794494476255099,"YLDs per 100,000",0.539066,0.312631,0.83085,"DALYs per 100,000",45.10885,25.38774,70.84066
4,Other Union Territories,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.314926921998084,0.172715659008876,0.531062973808546,"YLDs per 100,000",0.3823,0.220217,0.594232,"DALYs per 100,000",28.26956,15.69723,47.39649
5,Andhra Pradesh,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.379383587542172,0.236242922286498,0.580915128427841,"YLDs per 100,000",0.542273,0.31919,0.814629,"DALYs per 100,000",34.13022,21.37978,52.02617
6,Assam,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",1.78830240180244,1.15670047644276,2.62274716786443,"YLDs per 100,000",1.019684,0.604918,1.596973,"DALYs per 100,000",159.3657,103.5105,233.3413
7,Delhi,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.70127169733896,0.424318796773453,1.06133753493172,"YLDs per 100,000",0.940549,0.538589,1.442173,"DALYs per 100,000",63.02385,38.46598,95.07771
8,Goa,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.403432188197799,0.226147833900136,0.642362490402631,"YLDs per 100,000",0.622994,0.362033,0.955263,"DALYs per 100,000",36.37654,20.4365,57.59371
9,Haryana,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",1.00109102481684,0.58193921175174,1.60356210879636,"YLDs per 100,000",0.838844,0.486037,1.307317,"DALYs per 100,000",89.46696,52.61635,143.0542
10,Karnataka,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.359060993655433,0.222246693036602,0.553047131505517,"YLDs per 100,000",0.537669,0.317273,0.838936,"DALYs per 100,000",32.32869,20.15562,49.50636
11,Kerala,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.101361826190961,0.0550216147504886,0.16724065642613,"YLDs per 100,000",0.35081,0.201043,0.552626,"DALYs per 100,000",9.334108,5.210998,15.20997
12,Maharashtra,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.292970789867994,0.171576502356166,0.456698971650909,"YLDs per 100,000",0.595636,0.336781,0.92511,"DALYs per 100,000",26.54863,15.79569,40.98139
13,Manipur,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.500917578602887,0.290446968496147,0.787360151827632,"YLDs per 100,000",0.723601,0.418128,1.123969,"DALYs per 100,000",45.06034,26.27166,70.40958
14,Meghalaya,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",1.64002990248063,0.924022836240281,2.60734873716642,"YLDs per 100,000",1.318612,0.801661,2.019946,"DALYs per 100,000",146.4923,82.90561,232.127
15,Mizoram,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",1.15690868125486,0.663280716560454,1.81977092187405,"YLDs per 100,000",0.997922,0.590708,1.523738,"DALYs per 100,000",103.4587,59.47218,162.3799
16,Nagaland,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",1.18300627612102,0.635130415025853,1.97469829962003,"YLDs per 100,000",0.877156,0.513823,1.352315,"DALYs per 100,000",105.5884,57.09929,175.8285
17,Odisha,2019,All ages,Both,Non-exclusive breastfeeding,"Deaths per 100,000",0.884315418643286,0.501420759777737,1.38976340827351,"YLDs per 100,000",0.854691,0.49731,1.334893,"DALYs per 100,000",79.18048,45.25613,124.2067
