,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0470649806302527,0.0100241300970239,0.108665943729698,"YLDs per 100,000",0.01183,0.002433,0.028658,"DALYs per 100,000",1.50667764382745,0.316407236130816,3.45488687789271
1,Arunachal Pradesh,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0203657053257616,0.00419421525743152,0.0447949504603635,"YLDs per 100,000",0.005216,0.000988,0.012445,"DALYs per 100,000",0.65129869572427,0.133655417121333,1.43112685002332
2,Uttarakhand,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0578802096111783,0.0113366567796878,0.136498718808661,"YLDs per 100,000",0.014546,0.002633,0.034743,"DALYs per 100,000",1.84906855356272,0.360545562306065,4.34299446439355
3,Himachal Pradesh,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0576184887630978,0.0116994486392546,0.130306815402079,"YLDs per 100,000",0.014582,0.003051,0.036434,"DALYs per 100,000",1.80082588484624,0.364377809834447,4.10927935775668
4,Other Union Territories,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0259703435705308,0.00571293042574838,0.0598883730274165,"YLDs per 100,000",0.006711,0.001327,0.015621,"DALYs per 100,000",0.798875618232942,0.173529462529005,1.83536759122017
5,Andhra Pradesh,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0289035670185267,0.00598927037079532,0.0654602016172632,"YLDs per 100,000",0.007351,0.001401,0.01853,"DALYs per 100,000",0.851689989339773,0.176551443959465,1.93793022171181
6,Assam,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0254159027071985,0.0051525863614206,0.0558255077287144,"YLDs per 100,000",0.006428,0.001161,0.015457,"DALYs per 100,000",0.804749830846844,0.160421369046329,1.77911059458467
7,Delhi,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0420481732925072,0.00891878950585938,0.0945478079950241,"YLDs per 100,000",0.010679,0.002112,0.02502,"DALYs per 100,000",1.29521568923547,0.275806528383282,2.89855306545598
8,Goa,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0267905270924641,0.00568332131864841,0.0635634550342106,"YLDs per 100,000",0.006784,0.001296,0.016599,"DALYs per 100,000",0.761997874741945,0.161240202579801,1.80528084371135
9,Haryana,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0317349528556194,0.00629872813007868,0.0720283592710211,"YLDs per 100,000",0.008158,0.001585,0.019696,"DALYs per 100,000",1.01359093207956,0.200949647664114,2.29385976444257
10,Karnataka,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0386479274429916,0.00770496184668197,0.0906223747583603,"YLDs per 100,000",0.009715,0.001908,0.023772,"DALYs per 100,000",1.1810203566975,0.236866845276112,2.78571147204829
11,Kerala,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0839272976261523,0.0177796734144383,0.189633053205334,"YLDs per 100,000",0.021209,0.00446,0.049328,"DALYs per 100,000",2.47181768643841,0.522854025780202,5.58086081353316
12,Maharashtra,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0319907090288286,0.00629778827283088,0.071516925334416,"YLDs per 100,000",0.008078,0.001547,0.019772,"DALYs per 100,000",0.945578381692889,0.185778186212508,2.11210428589465
13,Manipur,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0511710381285906,0.00992420323046698,0.118648705275812,"YLDs per 100,000",0.012654,0.002445,0.030307,"DALYs per 100,000",1.55046129318411,0.300123655281944,3.63116529319243
14,Meghalaya,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0339185588747426,0.00668122223657099,0.0802574472759285,"YLDs per 100,000",0.008432,0.001678,0.021613,"DALYs per 100,000",1.04738005746917,0.206092485624348,2.44548331436029
15,Mizoram,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.10176236167511,0.0190916313260563,0.232152350211581,"YLDs per 100,000",0.02452,0.005023,0.057718,"DALYs per 100,000",3.09785562219351,0.582272190709912,7.04960336662239
16,Nagaland,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.010960282996413,0.00210888054831372,0.0248061450365535,"YLDs per 100,000",0.002773,0.000533,0.007082,"DALYs per 100,000",0.329568474888886,0.0642989289894629,0.751050671831257
17,Odisha,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0271293756109163,0.0056638853911465,0.0611596934512966,"YLDs per 100,000",0.00677,0.001365,0.016828,"DALYs per 100,000",0.787674514001498,0.163680034774775,1.78168043423594
18,Punjab,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0350227489911775,0.00724101455584111,0.0801522190097717,"YLDs per 100,000",0.008785,0.001683,0.021255,"DALYs per 100,000",1.04077695666256,0.21418438447093,2.38071913506135
19,Rajasthan,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0331212630381158,0.00751672354447638,0.0763808890105042,"YLDs per 100,000",0.008405,0.001599,0.019408,"DALYs per 100,000",1.05546730006902,0.239121496080101,2.38624281487388
20,Sikkim,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0384026631225195,0.00777790059966214,0.0867777036572584,"YLDs per 100,000",0.009594,0.001773,0.024002,"DALYs per 100,000",1.1392547714245,0.230340382952295,2.57841999182924
21,Tamil Nadu,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0438916338133687,0.00902487868007118,0.101651084236379,"YLDs per 100,000",0.011205,0.002321,0.026899,"DALYs per 100,000",1.32245847494332,0.275715934229689,3.06696799337687
22,Tripura,2019,All ages,Both,Occupational exposure to nickel,"Deaths per 100,000",0.0492034215496916,0.0103723945685752,0.111651721416615,"YLDs per 100,000",0.012147,0.002387,0.028338,"DALYs per 100,000",1.48758376747113,0.310203236694148,3.39190137091779
