,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.37084164371065,0.675640336307704,2.13264656196641,"YLDs per 100,000",7.06826471713654,2.73406152785971,12.216683398906,"DALYs per 100,000",41.1074293167854,20.3506586031652,63.8368071310317
1,Arunachal Pradesh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",0.861062449537074,0.548414815382013,1.21939226151089,"YLDs per 100,000",6.22020497779448,3.29623208444579,9.96374546662595,"DALYs per 100,000",24.565998867134,15.6937614577191,34.6426308356649
2,Uttarakhand,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.43118075073488,1.19655978030875,3.88545995198682,"YLDs per 100,000",16.4819462715168,6.39179095944218,28.2853873438452,"DALYs per 100,000",81.8273396667348,37.0722392064254,132.150157747223
3,Himachal Pradesh,2019,Location,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.50617545262157,0.916147124310277,4.20566789391723,"YLDs per 100,000",19.3470358182463,7.1206166938885,32.9861999123121,"DALYs per 100,000",87.545046007225,33.9381925288525,144.961756121038
4,Other Union Territories,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.55141108270455,1.14636644734969,3.99191176948152,"YLDs per 100,000",19.2684654168541,8.09421816478646,32.9134878335549,"DALYs per 100,000",79.9006394585502,36.6005852868302,124.57448842471
5,Andhra Pradesh,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.09952773943952,1.03906473456572,3.24113768822722,"YLDs per 100,000",11.5319155637245,4.90866677791965,19.1454323046031,"DALYs per 100,000",63.5593179746212,31.6003441215901,99.0988190164702
6,Assam,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.19738491114394,0.73609593738315,1.74747258900376,"YLDs per 100,000",8.45235964470157,4.12013711440974,13.7693457711133,"DALYs per 100,000",36.6195609329882,21.3824163942608,53.2388196444715
7,Delhi,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",1.9019536453183,0.74450740294532,3.17225175809241,"YLDs per 100,000",15.6158646201685,5.12851415230515,27.5578245167719,"DALYs per 100,000",65.0232376278799,27.3347220388696,107.164716447623
8,Goa,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",4.34685409151183,1.80134335465698,7.1245157230828,"YLDs per 100,000",29.0328675797429,11.8381100033838,49.0403956368285,"DALYs per 100,000",122.232045434742,52.444556615857,194.818010290419
9,Haryana,2019,All ages,Both,Diet high in sugar-sweetened beverages,"Deaths per 100,000",2.42347304150795,0.900515057170198,3.921482881393,"YLDs per 100,000",16.0368385581078,5.92853833112237,27.5632442354107,"DALYs per 100,000",85.4548006749684,33.6726565801797,138.189817717713
