,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",29.0464818255291,16.1036457541866,46.8643491771284,"YLDs per 100,000",114.320833042709,69.6116645150659,172.982586777364,"DALYs per 100,000",899.901503321649,523.771943755668,1403.67529017043
1,Arunachal Pradesh,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",27.7702341915611,18.5379593841312,39.1125422187069,"YLDs per 100,000",146.018744741308,96.8857621832077,204.972579190644,"DALYs per 100,000",1040.48828752517,716.550708830234,1410.58149467591
2,Uttarakhand,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",33.6462503481956,17.5183110813947,54.8951218876418,"YLDs per 100,000",141.398193654801,86.7401868324262,210.578333461397,"DALYs per 100,000",1025.35261912691,570.640049050961,1607.27682438626
3,Himachal Pradesh,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",39.9320433047413,21.1366567806067,67.4926453101647,"YLDs per 100,000",190.730522699512,117.476244000836,289.091262443226,"DALYs per 100,000",1157.22291293603,667.643515685182,1883.27726997054
4,Other Union Territories,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",7.65769762289465,3.64985976754746,13.7302722745924,"YLDs per 100,000",57.6027680000262,31.3034116799521,92.682958547678,"DALYs per 100,000",255.137692401874,132.745613818154,434.090000292967
5,Andhra Pradesh,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",50.5917659635809,31.9438115150575,73.5764643448474,"YLDs per 100,000",235.279255379066,152.637637716015,341.949570399334,"DALYs per 100,000",1503.71111804516,987.356404594272,2140.75087657397
6,Assam,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",57.3695225953973,39.1153454594207,77.8447981360872,"YLDs per 100,000",216.092487745343,145.135452930738,300.892144030089,"DALYs per 100,000",2157.90580801341,1489.73763090672,2908.94166321357
7,Delhi,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",0.394534160255503,0.141278335048395,0.860733027701594,"YLDs per 100,000",8.23714693130452,3.36655341200507,16.3436338403716,"DALYs per 100,000",18.9736698470764,8.61711688232942,37.3916178361817
8,Goa,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",7.44917521866416,2.98602947531928,14.7738268564343,"YLDs per 100,000",59.8923083291034,30.8311324073292,103.836509777866,"DALYs per 100,000",218.398688966828,101.354535354348,407.255785388231
9,Haryana,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",21.1595644683899,11.7726366856473,34.0626677979533,"YLDs per 100,000",121.83359598775,76.8404869681513,178.842716962346,"DALYs per 100,000",742.19082610674,436.659159068966,1156.22819831255
10,Karnataka,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",56.8699753614414,36.4674885847356,81.7486785721779,"YLDs per 100,000",197.917634811635,127.211760698652,282.807688916848,"DALYs per 100,000",1647.25908224668,1085.46016325527,2291.88401851722
11,Kerala,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",29.5070072154018,14.6349587173465,51.1656335506081,"YLDs per 100,000",193.967790178861,111.124192928314,300.510956544509,"DALYs per 100,000",813.747924545726,441.886007126889,1339.72832247042
12,Maharashtra,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",29.1801330209393,16.6226716499225,44.8344124673069,"YLDs per 100,000",144.201815839635,90.7676429495731,213.549300536684,"DALYs per 100,000",870.035462038928,533.852496034893,1308.32551767653
13,Manipur,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",30.5739290207348,18.112086628299,46.8562397376396,"YLDs per 100,000",163.447883106489,103.492269174175,238.842215181872,"DALYs per 100,000",1031.69512464528,638.177326444348,1520.59967452143
14,Meghalaya,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",30.4129527027839,20.5209210650225,42.8095577811676,"YLDs per 100,000",151.845524881042,102.696312477802,211.035908555843,"DALYs per 100,000",1207.71461054116,835.595434046481,1669.96388433317
15,Mizoram,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",19.1296498975419,10.7099492947378,29.64655600848,"YLDs per 100,000",100.09674816103,62.9895777542513,144.83025433026,"DALYs per 100,000",702.964998077891,425.40062535589,1038.88918161636
16,Nagaland,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",30.0951500300289,18.3898583318095,44.7590135292154,"YLDs per 100,000",142.185382989287,92.5097690719737,204.118511138794,"DALYs per 100,000",1061.19477876481,662.488642715943,1553.35807886822
17,Odisha,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",48.9986525002128,32.5062684303697,71.5957365689305,"YLDs per 100,000",253.84211407193,170.596264630879,354.730116940735,"DALYs per 100,000",1781.22604869897,1216.26908071645,2440.66046719324
18,Punjab,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",23.1790234975863,12.434364798223,38.2705216257265,"YLDs per 100,000",114.016100046734,70.0322892573135,174.814849089718,"DALYs per 100,000",758.065694319572,423.245025474532,1216.12895835623
19,Rajasthan,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",61.388679122363,38.3569588067741,88.3806628492517,"YLDs per 100,000",196.890758148688,132.712164007984,275.783930366125,"DALYs per 100,000",2158.6819258226,1417.43517990138,3004.23578196935
20,Sikkim,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",21.3509570994122,11.9717407775057,34.4316823809196,"YLDs per 100,000",126.056155321522,77.7327179341575,190.920378591082,"DALYs per 100,000",631.428469727969,365.089072153127,975.523694356921
21,Tamil Nadu,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",30.8902467520517,17.5956511195172,47.6182425260881,"YLDs per 100,000",149.351495456046,90.5136908124016,225.168610148476,"DALYs per 100,000",945.03756549971,554.115556593701,1434.63569106735
22,Tripura,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",53.9871425616792,34.3135936645856,78.5260449444161,"YLDs per 100,000",219.430416329939,144.999322870306,309.917660636698,"DALYs per 100,000",1608.3420747596101,1057.49077097357,2278.51875767289
23,West Bengal,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",47.9666189357013,30.3657327865634,69.1262213708003,"YLDs per 100,000",216.99502793105,144.215821228477,309.638007419869,"DALYs per 100,000",1501.79553686402,995.39563179795,2123.69944668559
24,Bihar,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",48.1592765799077,31.0648606239785,68.4703844860122,"YLDs per 100,000",210.836858218971,140.187565824643,297.653786650306,"DALYs per 100,000",1912.03805908678,1281.17495106906,2634.13023639669
25,Chhattisgarh,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",70.5395961566748,48.2981949549248,95.8660079695046,"YLDs per 100,000",274.187214321169,187.822712679543,380.397633976201,"DALYs per 100,000",2512.95346742625,1769.14664308661,3327.57909171136
26,Jharkhand,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",42.0311829007356,27.4856177617023,58.2942624738733,"YLDs per 100,000",221.348519343906,149.481941003621,308.863431154304,"DALYs per 100,000",1540.35713927459,1043.26367454764,2116.72473942293
27,Madhya Pradesh,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",60.9830158168815,39.9466370827893,82.5921682047965,"YLDs per 100,000",209.424638922766,141.422105595061,288.817597719555,"DALYs per 100,000",2221.34786323797,1504.67664610885,2992.25333887284
28,Uttar Pradesh,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",47.2373187360368,28.4936742637962,70.453099779262,"YLDs per 100,000",170.665472597047,112.123185577971,248.061376598649,"DALYs per 100,000",1753.65924373805,1109.75504948024,2532.99875579188
29,Gujarat,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",28.7658130199256,17.1884064824289,44.6153099615342,"YLDs per 100,000",126.697058646483,80.8029879083655,186.347186607887,"DALYs per 100,000",967.866635392101,609.04200659768,1441.45049095322
30,Telangana,2019,All ages,Both,Household air pollution from solid fuels,"Deaths per 100,000",31.6382165002274,19.2567990891543,47.9605600098398,"YLDs per 100,000",151.802699508684,96.6031845921523,218.521431150366,"DALYs per 100,000",998.794090706917,653.558787770198,1441.13290510988
