,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Low birth weight,"Deaths per 100,000",20.8205900175341,16.1206775830463,27.1044579050496,"YLDs per 100,000",210.75473647931,157.883587394388,278.060003013166,"DALYs per 100,000",2060.67968747267,1635.70898942735,2622.49288220987
1,Arunachal Pradesh,2019,All ages,Both,Low birth weight,"Deaths per 100,000",22.9159626188082,17.1986867986253,30.4695210543234,"YLDs per 100,000",255.376015978867,190.353559260718,331.367395126654,"DALYs per 100,000",2291.50026820938,1784.58877237619,2963.88391850029
2,Uttarakhand,2019,All ages,Both,Low birth weight,"Deaths per 100,000",21.0336344811166,15.9146180234449,27.1687963708106,"YLDs per 100,000",243.743241167628,181.073615654709,315.780978759481,"DALYs per 100,000",2112.69872815032,1638.26764405136,2667.15947205091
3,Himachal Pradesh,2019,All ages,Both,Low birth weight,"Deaths per 100,000",19.1596885380636,15.3938510085341,24.0818099161361,"YLDs per 100,000",277.081470668124,205.769677338504,360.521546499464,"DALYs per 100,000",1979.48780343448,1641.65207831689,2426.74079339005
4,Other Union Territories,2019,All ages,Both,Low birth weight,"Deaths per 100,000",11.9524351604158,7.91218094625736,17.3898237268149,"YLDs per 100,000",246.960251815815,188.433730025349,318.958459325642,"DALYs per 100,000",1308.96704088129,942.890660947459,1795.88441996431
5,Andhra Pradesh,2019,All ages,Both,Low birth weight,"Deaths per 100,000",23.6458800493572,18.7566744419179,30.3738725370037,"YLDs per 100,000",205.051920887904,151.858044726923,267.105363304361,"DALYs per 100,000",2306.10755091659,1870.15101546427,2907.5883544853
6,Assam,2019,All ages,Both,Low birth weight,"Deaths per 100,000",40.0002200682904,31.4960605101028,51.2028870410188,"YLDs per 100,000",195.540534805013,146.243900356093,256.241132042433,"DALYs per 100,000",3749.64071498499,3000.083572071,4747.58106767735
7,Delhi,2019,All ages,Both,Low birth weight,"Deaths per 100,000",17.7987609393803,13.9867480147586,22.8060805222529,"YLDs per 100,000",240.168985090741,180.736887110413,310.943336598905,"DALYs per 100,000",1821.65928098155,1476.88124149959,2269.02835862301
8,Goa,2019,All ages,Both,Low birth weight,"Deaths per 100,000",8.20143038750706,6.23611356776821,10.9700787140411,"YLDs per 100,000",250.375895824155,189.921086406631,323.149093051214,"DALYs per 100,000",979.050643995337,789.006296682122,1233.26299735558
9,Haryana,2019,All ages,Both,Low birth weight,"Deaths per 100,000",25.4248326922419,19.8268870418411,33.1041032267075,"YLDs per 100,000",231.76219284334,172.024352807136,301.620255305228,"DALYs per 100,000",2490.83832342628,1999.28188881375,3159.18005609548
