,Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound,Measure.1,Value.1,Lower bound.1,Upper bound.1,Measure.2,Value.2,Lower bound.2,Upper bound.2
0,Jammu & Kashmir and Ladakh,2019,All ages,Both,Smoking,"Deaths per 100,000",101.007990637206,83.0160353028869,120.039189938069,"YLDs per 100,000",322.093194643317,252.987137132936,395.514773920755,"DALYs per 100,000",2489.18045984132,2080.71136507985,2945.77193949661
1,Arunachal Pradesh,2019,All ages,Both,Smoking,"Deaths per 100,000",51.255659305705,39.578288950941,63.6721086315781,"YLDs per 100,000",246.922383470459,190.49051923927,306.831691109662,"DALYs per 100,000",1437.24256440087,1135.29236544913,1791.19224511424
2,Uttarakhand,2019,All ages,Both,Smoking,"Deaths per 100,000",140.8230979522,113.312281533248,172.779956571592,"YLDs per 100,000",366.075927460487,286.186176639147,446.750321346454,"DALYs per 100,000",3596.16491532781,2932.61441766235,4403.57447192383
3,Himachal Pradesh,2019,All ages,Both,Smoking,"Deaths per 100,000",135.931812044195,108.674623357448,165.762673815926,"YLDs per 100,000",381.592199374345,300.290944597149,462.945814210249,"DALYs per 100,000",3209.48517755295,2610.32125942185,3894.34895545095
4,Other Union Territories,2019,All ages,Both,Smoking,"Deaths per 100,000",43.0942804655897,32.4920822919911,55.3470569827821,"YLDs per 100,000",183.829098880962,142.680796582831,226.385490716803,"DALYs per 100,000",1208.95929959471,927.833223498101,1552.24520908724
5,Andhra Pradesh,2019,All ages,Both,Smoking,"Deaths per 100,000",85.0609883544598,63.7649408782615,108.817199506494,"YLDs per 100,000",349.104966480705,275.061621336536,425.897993288153,"DALYs per 100,000",2251.00745885483,1746.12492688159,2878.11826172236
6,Assam,2019,All ages,Both,Smoking,"Deaths per 100,000",79.8022610060344,65.5066787177773,96.9115440631933,"YLDs per 100,000",267.530323390134,208.641793273249,329.532091411716,"DALYs per 100,000",2249.59647246862,1846.51265524948,2716.84811393497
7,Delhi,2019,All ages,Both,Smoking,"Deaths per 100,000",51.8148803446302,41.0450946963162,63.2640162135012,"YLDs per 100,000",245.759750969877,190.077542946593,305.534480657909,"DALYs per 100,000",1520.893828591,1238.71750291792,1831.0369485945
8,Goa,2019,All ages,Both,Smoking,"Deaths per 100,000",34.5603085656537,25.8230352080264,44.383196805708,"YLDs per 100,000",167.845502620064,130.972377080033,204.738243255538,"DALYs per 100,000",918.541324727555,710.384115765903,1160.18663642349
9,Haryana,2019,All ages,Both,Smoking,"Deaths per 100,000",89.4009621430404,71.1796882489205,109.549186317727,"YLDs per 100,000",339.119268584821,267.600294273087,413.748496369429,"DALYs per 100,000",2440.12851129178,2004.05369380563,2945.00751731883
10,Karnataka,2019,All ages,Both,Smoking,"Deaths per 100,000",81.8094269226951,64.3934107909031,100.262604178727,"YLDs per 100,000",229.645406039877,178.146062950132,284.054463601953,"DALYs per 100,000",2159.11397668072,1731.14070782629,2640.38470081701
11,Kerala,2019,All ages,Both,Smoking,"Deaths per 100,000",80.5232789590467,62.882607794026,100.252500458782,"YLDs per 100,000",337.743808557409,265.713687513639,415.049661287995,"DALYs per 100,000",2114.4217906245,1693.60956116835,2581.63954238339
